if              - 0.18577291381668948
local           - 0.10095759233926128
echo            - 0.09958960328317373
return          - 0.052120383036935704
for             - 0.04746922024623803
printf          - 0.04555403556771546
command         - 0.029548563611491108
exit            - 0.025718194254445964
shift           - 0.024897400820793433
file            - 0.022298221614227086
install         - 0.0213406292749658
case            - 0.020383036935704514
sed             - 0.02024623803009576
as              - 0.013816689466484268
awk             - 0.013816689466484268
read            - 0.011627906976744186
true            - 0.011354309165526676
grep            - 0.0106703146374829
eval            - 0.01039671682626539
source          - 0.01012311901504788
rm              - 0.009028727770177838
set             - 0.008755129958960328
while           - 0.008755129958960328
mkdir           - 0.007523939808481532
function        - 0.007250341997264022
unset           - 0.006292749658002736
cd              - 0.005745554035567715
alias           - 0.00506155950752394
cut             - 0.004924760601915185
break           - 0.0047879616963064295
export          - 0.004651162790697674
script          - 0.004651162790697674
which           - 0.004377564979480164
head            - 0.004240766073871409
named           - 0.004240766073871409
curl            - 0.0038303693570451436
sort            - 0.0038303693570451436
false           - 0.0035567715458276333
tee             - 0.003283173734610123
mv              - 0.003146374829001368
tr              - 0.003146374829001368
at              - 0.0028727770177838577
cat             - 0.0028727770177838577
cp              - 0.0028727770177838577
readonly        - 0.0027359781121751026
make            - 0.0025991792065663474
type            - 0.0025991792065663474
test            - 0.0024623803009575923
more            - 0.002325581395348837
help            - 0.002188782489740082
hash            - 0.002051983584131327
sleep           - 0.002051983584131327
continue        - 0.0019151846785225718
man             - 0.0019151846785225718
tail            - 0.0019151846785225718
wc              - 0.0019151846785225718
last            - 0.0017783857729138167
yes             - 0.0017783857729138167
chmod           - 0.0016415868673050615
format          - 0.0016415868673050615
wget            - 0.0016415868673050615
env             - 0.0015047879616963064
exec            - 0.0015047879616963064
find            - 0.0015047879616963064
free            - 0.0015047879616963064
info            - 0.0015047879616963064
iptables        - 0.0015047879616963064
ls              - 0.0015047879616963064
sudo            - 0.0013679890560875513
enable          - 0.0012311901504787962
reset           - 0.0012311901504787962
select          - 0.0012311901504787962
time            - 0.0012311901504787962
until           - 0.0012311901504787962
addresses       - 0.001094391244870041
bash            - 0.001094391244870041
chown           - 0.001094391244870041
clear           - 0.001094391244870041
disable         - 0.001094391244870041
let             - 0.001094391244870041
most            - 0.001094391244870041
wait            - 0.001094391244870041
xargs           - 0.001094391244870041
host            - 9.575923392612859E-4
touch           - 9.575923392612859E-4
declare         - 8.207934336525308E-4
less            - 8.207934336525308E-4
route           - 8.207934336525308E-4
users           - 8.207934336525308E-4
write           - 8.207934336525308E-4
xz              - 8.207934336525308E-4
access          - 6.839945280437756E-4
ip              - 6.839945280437756E-4
logrotate       - 6.839945280437756E-4
look            - 6.839945280437756E-4
ping            - 6.839945280437756E-4
screen          - 6.839945280437756E-4
sh              - 6.839945280437756E-4
size            - 6.839945280437756E-4
uniq            - 6.839945280437756E-4
apt-get         - 5.471956224350205E-4
chsh            - 5.471956224350205E-4
comm            - 5.471956224350205E-4
cron            - 5.471956224350205E-4
dig             - 5.471956224350205E-4
dir             - 5.471956224350205E-4
expand          - 5.471956224350205E-4
join            - 5.471956224350205E-4
link            - 5.471956224350205E-4
ln              - 5.471956224350205E-4
restore         - 5.471956224350205E-4
rpm             - 5.471956224350205E-4
sha1sum         - 5.471956224350205E-4
timeout         - 5.471956224350205E-4
top             - 5.471956224350205E-4
trap            - 5.471956224350205E-4
